INCI name,CAS,EC no,Annex ref
(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/COLTSFOOT/CYANUS SEGETUM/HONEYSUCKLE/HOPS/LAVENDER/MALLOW/MATRICARIA CHAMOMILLA/ROSA CENTIFOLIA/SAMBUCUS NIGRA) FLOWER EXTRACT,,,
(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/CYANUS SEGETUM /MATRICARIA CHAMOMILLA/HUMULUS LUPULUS/LAVANDULA ANGUSTIFOLIA/LONICERA JAPONICA/MALVA SYLVESTRIS/ROSA CENTIFOLIA/SAMBUCUS NIGRA/TILIA CORDATA/TUSSILAGO FARFARA) FLOWER EXTRACT,,,
(ARNICA MONTANA/CALENDULA OFFICINALIS/MATRICARIA CHAMOMILLA) FLOWER EXTRACT,,,
(ARTEMISIA CAPILLARIS/CINNAMOMUM CASSIA BARK/SCUTELLARIA BAICALENSIS ROOT/COPTIS JAPONICA RHIZOME) EXTRACT,,,
(ARTEMISIA PRINCEPS/DENDROPANAX MORBIFERA/ECLIPTA PROSTRATA/ERIOBOTRYA JAPONICA/OROSTACHYS JAPONICA/PORTULACA OLERACEA/SASA BOREALIS/ZIZANIA LATIFOLIA) LEAF/STEM EXTRACT,,,
(ARTEMISIA SIEVERSIANA/DIMOCARPUS LONGANA) FLOWER/LEAF/STEM EXTRACT,,,
(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE,,,
(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS (LICORICE)/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT,,,
(BETULA PLATYPHYLLA/CINNAMOMUM CASSIA) BARK/(ACHYRANTHES JAPONICA/SCUTELLARIA BAICALENSIS/VALERIANA AMURENSIS) ROOT/BIANCAEA SAPPAN TRUNK EXTRACT,,,
(BIDENS TRIPARTITA FLOWER/LEAF/STEM)/PERILLA FRUTESCENS LEAF/PRUNELLA VULGARIS EXTRACT,,,
(BIFIDOBACTERIUM LYSATE & POLOXAMER 407) EXTRACT,,,
(BIFIDOBACTERIUM/POLYSORBATE 80 FERMENT + LACTOBACILLUS/POLYSORBATE 80 FERMENT) LYSATE FILTRATE,,,
(BROCCOLI/CABBAGE/ERUCA SATIVA/RADISH) SPROUT/MORINGA OLEIFERA LEAF EXTRACT,,,
(BROCCOLI/ERUCA SATIVA/LEPIDIUM SATIVUM/NASTURTIUM OFFICINALE/RADISH) SPROUT EXTRACT,,,
(CALENDULA OFFICINALIS/SAFFLOWER FLOWER)/(ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM)/(VACCINIUM MYRTILLUS/VITEX AGNUS-CASTUS FRUIT)/RHUS CHINENSIS GALL/WALNUT HUSK/(CAMELLIA SINENSIS/NETTLE LEAF)/(JUNIPERUS COMMUNIS LEAF/STEM)/HORSE CHESTNUT NUT/DICHROA FEBRIFUGA ROOT/GRAPE SEED/ACACIA CATECHU WOOD/GOLDENROD/HYPERICUM PERFORATUM EXTRACT,,,
(CAMELLIA JAPONICA/PRUNUS MUME/SAFFLOWER FLOWER)/(ARONIA ARBUTIFOLIA/BLUEBERRY/CRANBERRY/EUTERPE OLERACEA FRUIT)/CAMELLIA SINENSIS LEAF/GARCINIA MANGOSTANA PEEL/COFFEE SEED/PROPOLIS/WINE EXTRACT,,,
(CANANGA ODORATA FLOWER/LEAF)/GANODERMA LUCIDUM FRUITING BODY/(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA LEAF)/(CITRUS HYSTRIX LEAF/PEEL)/(CITRONELLA/CYMBOPOGON SCHOENANTHUS/OCIMUM TENUIFLORUM LEAF/STEM)/(ALPINIA GALANGA/BOESENBERGIA ROTUNDA/GINGER/TURMERIC RHIZOME)/ZINGIBER CASSUMUNAR ROOT EXTRACT,,,
(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,,
(CINNAMOMUM CASSIA/MAGNOLIA OFFICINALIS) BARK/(ALPINIA OFFICINARUM/ANGELICA GIGAS) ROOT EXTRACT,,,
(CITRUS AURANTIUM AMARA/FORSYTHIA SUSPENSA) FRUIT/SCUTELLARIA BAICALENSIS ROOT EXTRACT,,,
(CNIDIUM OFFICINALE/COPTIS CHINENSIS/GLYCYRRHIZA URALENSIS) ROOT EXTRACT,,,
(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) ROOT/ATRACTYLODES JAPONICA RHIZOME/PORIA COCOS/(DOLICHOS LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) SEED EXTRACT,,,
(CORNUS OFFICINALIS/LYCIUM CHINENSE/MORUS BOMBYCIS/RICE/SCHISANDRA CHINENSIS/ZIZYPHUS JUJUBA) FRUIT/(CAMELLIA SINENSIS/DIOSPYROS KAKI/GINKGO BILOBA/PERILLA FRUTESCENS) LEAF/CITRUS UNSHIU PEEL/(CODONOPSIS LANCEOLATA/CYNANCHUM WILFORDII/PANAX GINSENG/PLATYCODON GRANDIFLORUM/PLEUROPTERUS MULTIFLORUS/POLYGONATUM ODORATUM) ROOT/GLYCINE MAX SEED/(ELEUTHEROCOCCUS SENTICOSUS/LICORICE) STEM/(ARTEMISIA ANNUA/HOUTTUYNIA CORDATA) STEM/LEAF/CIRSIUM JAPONICUM/DANDELION/LAMINARIA DIGITATA/TARAXACUM PLATYCARPUM WATER,,,
(CRYPTOMERIA JAPONICA/CHAMAECYPARIS OBTUSA) STEM FERMENT EXTRACT,,,
(CURCUMA LONGA/GLYCYRRHIZA URALENSIS) ROOT EXTRACT,,,
(E)-3-[1-[4-[2-(Dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol,82413-20-5,428-010-4,II/1475
"(E)-Phosphamidon; Phosphoric acid, 2-chloro-3-(diethylamino)-1-methyl-3-oxo-1-propenyl dimethyl ester, (E)-",297-99-4,,II/1013
(ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) LEAF EXTRACT,,,
(Epoxyethyl)benzene (Styrene oxide),96-09-3,202-476-7,II/656
(EUTERPE OLERACEA/EUTERPE PRECATORIA) FRUIT EXTRACT,,,
(EUTERPE OLERACEA/EUTERPE PRECATORIA/THEOBROMA GRANDIFLORUM) FRUIT EXTRACT,,,
(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACCHARIDES,,,
(GLYCYRRHIZA URALENSIS (LICORICE)/HEDYCHIUM SPICATUM/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,,
(GRIFOLA FRONDOSA/ INONOTUS OBLIQUUS/ SCHIZOPHYLLUM COMMUNE/ TRICHOLOMA MATSUTAKE) MYCELIUM /LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE,,,
(GRIFOLA FRONDOSA/INONOTUS OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE,,,
(HONEY + ZYMOMONAS FERMENT) EXTRACT,,,
(HYLOCEREUS UNDATUS/ACTINIDIA CHINENSIS) PEEL EXTRACT,,,
(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE,,,
(LACTOBACILLUS/POLYSORBATE 80 FERMENT + LEUCONOSTOC/POLYSORBATE 80 FERMENT) LYSATE FILTRATE,,,
(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOWER/(CAMELLIA SINENSIS LEAF/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) ROOT/SARRACENIA COBRA NEST LEAF/FLOWER/STALK EXTRACT,,,
(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER,,,
(LESPEDEZA BICOLOR/PHELLODENDRON AMURENSE BARK)/MENTHA ARVENSIS LEAF/(ANEMARRHENA ASPHODELOIDES/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,,,
(LICORICE/REYNOUTRIA JAPONICA) ROOT/STEM EXTRACT,,,
(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) ROOT/COMMIPHORA MYRRHA RESIN/SWERTIA JAPONICA/UNCARIA GAMBIR EXTRACT,,,
(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT,,,
(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,,,
(Methyl-ONN-azoxy)methyl acetate,592-62-1,209-765-7,II/728
"(Methylenebis(4,1-phenylenazo(1-(3-(dimethylamino)propyl)-1,2-dihydro-6-hydroxy-4-methyl-2-oxopyridine-5,3-diyl)))-1,1'-dipyridinium dichloride dihydrochloride",,401-500-5,II/1155
"(micro-((7,7'-Iminobis(4-hydroxy-3-((2-hydroxy-5-(N-methylsulphamoyl)phenyl)azo)naphthalene-2-sulphonato))(6-)))dicuprate and its salts, when used as a substance in hair dye products",37279-54-2,253-441-8,II/1268
(MORUS ALBA FRUIT/SUCROSE FERMENT FILTRATE) POLYGONUM MULTIFLORUM ROOT EXTRACT FERMENT FILTRATE,,,
(OLIVE FLOWER/LEAF)/(DITTRICHIA VISCOSA/MALLOW/PARIETARIA OFFICINALIS/SAGE FLOWER/LEAF/STEM)/(ECBALLIUM ELATERIUM FRUIT/LEAF)/(AGAVE AMERICANA/CYNARA CARDUNCULUS/MASTIC LEAF)/(ACANTHUS MOLLIS/RHAGADOLIUS STELLATUS/VERBASCUM SINUATUM/VERBENA OFFICINALIS LEAF/FLOWER)/(MORINGA OLEIFERA LEAF/SHOOT)/(ARTEMISIA ARBORESCENS/THYMUS CAPITATUS LEAF/STEM)/(LYCIUM BARBARUM SHOOT/FRUIT/LEAF/STEM) EXTRACT,,,
(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/MENTHA ARVENSIS LEAF/SCUTELLARIA BAICALENSIS ROOT EXTRACT,,,
(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/SCUTELLARIA BAICALENSIS ROOT/MENTHA ARVENSIS EXTRACT,,,
(PANAX GINSENG MERISTEM CELL + TAXUS CUSPIDATA MERISTEM CELL CULTURE CONDITIONED MEDIA + PANAX GINSENG LEAF/ROOT/STEM POWDER) EXTRACT,,,
(POLYGONUM MULTIFLORUM/GASTRODIA ELATA) STEM/ANGELICA KEISKEI LEAF/STEM/PTEROCARPUS SANTALINUS BARK/ZIZYPHUS JUJUBA SEED/THUJA ORIENTALIS FRUIT/ULMUS DAVIDIANA BARK/ROOT/(LIRIOPE PLATYPHYLLA/ADENOPHORA TRIPHYLLA) ROOT WATER,,,
(R)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone; (R)-warfarin,5543-58-8,226-908-9,II/203
(R)-5-Bromo-3-(1-methyl-2-pyrrolidinylmethyl)-1H-indole,143322-57-0,422-390-5,II/1197
"(R)-alpha-Phenylethylammonium (-)-(1R,2S)-(1,2-epoxypropyl)phosphonate monohydrate",25383-07-7,418-570-8,II/1053
"(R,S)-2-Amino-3,3-dimethylbutane amide",144177-62-8,447-860-7,II/1522
"(S)-2,3-Dihydro-1H-indole-carboxylic acid",79815-20-6,410-860-2,II/1104
(S)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone; (S)-Warfarin,5543-57-7,226-907-3,II/203
(SH-PENTAPEPTIDE-10 6-AMINOCAPROOYL SH-PENTAPEPTIDE-11) SP,,,
(VETIVERIA ZIZANOIDES ROOT/PUERARIA THUNBERGIANA FLOWER/LEAF/STEM) WATER,,,
(Z)-2-Methoxymino-2-[2-(tritylamino)thiazol-4-yl]acetic acid,64485-90-1,431-520-1,II/1489
"1,1,2-Trichloroethane",79-00-5,201-166-9,II/1169
"1,1,3,3,5-Pentamethyl-4,6-dinitroindane (Moskene)",116-66-5,204-149-4,II/421
"1,1-Bis(dimethylaminomethyl)propyl benzoate (amydricaine, alypine) and its salts",963-07-5,213-512-6,II/143
"1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE",59354-71-1,261-715-3,
"1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE",10031-71-7,233-092-8,
"1,10-DECANEDIOL",112-47-0,203-975-2,
"1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",41199-19-3,255-256-8,
"1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE",65405-72-3,265-742-1,
"1,2,3,4,5,6-Hexachlorocyclohexane (BHC-ISO)",58-89-9 / -,200-401-2 / 602-042-00-0,II/195
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, monohydrate and 1,2,3-Propanetricarboxylic acid, 2-hydroxy-silver(1+) salt, monohydrate",5949-29-1; 77-92-9; 36701-38-9,460-890-5,V/59
"1,2,3-Trichloropropane",96-18-4,202-486-1,II/1141
"1,2,4-BENZENETRIACETATE",613-03-6,210-327-2,II/1254
"1,2,4-Benzenetriacetate and its salts, when used as a substance in hair dye products",613-03-6,210-327-2,II/1254
"1,2,4-Triazole",288-88-0,206-022-9,II/1056
